createdAt,id,loot,memberAddress,molochAddress,shares,network
1603602679,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x7414df7948e17c37e588e5ac8e43195cbb2af801-rage-11123603,0,0x7414df7948e17c37e588e5ac8e43195cbb2af801,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,69,mainnet
1586313531,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70-rage-9828895,0,0x0115f5ce3f986a35b1edb6f2c3815cebb2461e70,0x0372f3696fa7dc99801f435fd6737e57818239f2,5,mainnet
1575895100,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0492b9170ec01d91f3aa721ff8ada42dd33fbbb8-rage-9077434,0,0x0492b9170ec01d91f3aa721ff8ada42dd33fbbb8,0x0372f3696fa7dc99801f435fd6737e57818239f2,5,mainnet
1586205132,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0492b9170ec01d91f3aa721ff8ada42dd33fbbb8-rage-9820656,0,0x0492b9170ec01d91f3aa721ff8ada42dd33fbbb8,0x0372f3696fa7dc99801f435fd6737e57818239f2,1,mainnet
1585853099,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0aba55c93cf7292f71067b0ba0d8b464592895ca-rage-9794233,0,0x0aba55c93cf7292f71067b0ba0d8b464592895ca,0x0372f3696fa7dc99801f435fd6737e57818239f2,50,mainnet
1600652301,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0bf4c238a25b66cd869331a692dfd0322708d7fb-rage-10902851,0,0x0bf4c238a25b66cd869331a692dfd0322708d7fb,0x0372f3696fa7dc99801f435fd6737e57818239f2,10,mainnet
1591738313,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0eabffd8ce94ab2387fc44ba32642af0c58af433-rage-10233981,0,0x0eabffd8ce94ab2387fc44ba32642af0c58af433,0x0372f3696fa7dc99801f435fd6737e57818239f2,21,mainnet
1581974407,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x0efe994201e2b0136dd40d5033b5f437e4c5f958-rage-9503036,0,0x0efe994201e2b0136dd40d5033b5f437e4c5f958,0x0372f3696fa7dc99801f435fd6737e57818239f2,20,mainnet
1586970310,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x15303ff0d49b2bcf48d076896093e745a8ae6658-rage-9878255,0,0x15303ff0d49b2bcf48d076896093e745a8ae6658,0x0372f3696fa7dc99801f435fd6737e57818239f2,102,mainnet
1585977078,0x0372f3696fa7dc99801f435fd6737e57818239f2-member-0x370ceca4fc1287ed99924bba76259f6c771a6022-rage-9803565,0,0x370ceca4fc1287ed99924bba76259f6c771a6022,0x0372f3696fa7dc99801f435fd6737e57818239f2,25,mainnet
