createdAt,id,outcome,reputation,voter,dao,proposal,network
1564737938,0x001e7617a24d4e379669db1b4be94aa5cdc1b735d492535dd7a15723aed680c5,Pass,372846309003008579630,0x13a0b42b9c180065510615972858bf41d1972a55,0x519b70055af55a007110b4ff99b0ea33071c720a,0xb804dbb6ba463b704c5be53c3be122e0f9fd72ebd1d952eb51e74db99a2d7f78,mainnet
1578641505,0x00202af217d5d4f46006ee508af4d4a8e40fa0c58ea09161ac7658f91278bad2,Pass,159178674775209859978,0xba527d8301178a03a6993ab5a08cab06b975d5ae,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x576035e158f1b82d6ac8c0022f577ca39dfc8f0d7c92f6037d9dcebcfc0c7d69,mainnet
1582800315,0x00230b335032c2f363d717da48d79d7574b1712580e011b59a88337c9627c770,Fail,1957062589266673407556,0xfc898b18a70ce49579f8d79a32e29928c15b4bc8,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7,0xca3e2d80a89548ede61675882eed5c124e100d7f6bc2020f1ffae94414622af4,mainnet
1561048648,0x002ba58c240694ff4e62b13e54bcffd8f667c8e1b4ed8d5ea60bc5e8f3349b85,Pass,9600000000000000000000,0x77488ed6c9448e1a5dbe6772d6d31db85108a53e,0x440583455bcd85ab2bd429c015d3aabcae135f0a,0x4717041dea594b7a52d50314f588f5d422a72423e1eaccd4a5abd6c9220f7fbc,mainnet
1579111398,0x0034f82af993f15f30788718350835183e83941b10ceb69081777e37b0a027d6,Fail,64500000000000000000,0x5db06acd673531218b10430ba6de9b69913ad545,0xbe1a98d3452f6da6e0984589e545d4fc25af7526,0xbd438870a470f1b4500db678ac05abef39f145071377b374eafb21c1b1fa7756,mainnet
1556053393,0x00381ed69d9ff204ba5e16eb71e615ec8cff3ac05b664a1b4d0ced91ddf2ad9c,Pass,463309683425280000000,0x144c4e5027b69f7798b2b162d924bcae5c149f15,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xee1d116e5dadc21ec9aef3dd171260e5a219ec2c26834ca6ad368c6ee992c344,mainnet
1576867608,0x0039a77fd8b75753ef35859fef1673e9fe1e20a0e7a48d8297f6ee126404a9cf,Fail,52375000000000000000,0x5db06acd673531218b10430ba6de9b69913ad545,0xbe1a98d3452f6da6e0984589e545d4fc25af7526,0xf469f3d888e4b494ebaf6ff17fe3d5d888e5c7d33e51e7e3aa8dc14376b6d985,mainnet
1598616754,0x003b53eeeb314ab7fa42f88f8630d7fd6ea17184c1f05a68abba789c881b9119,Pass,18016183440825327276060,0xb0e83c2d71a991017e0116d58c5765abc57384af,0x519b70055af55a007110b4ff99b0ea33071c720a,0xdd9f7b1cbd148a266c6a6edbcf271ea0248bfa7f98748022c2a5bc148d6bc739,mainnet
1563853496,0x00408d07ef8ea2f16f1b4eb0b76566e040ff85511826641ab7eba90793d65e39,Pass,247725910708573288915,0xd8f515dad06a9f5b2cc761e5a108aa3eeb70c2b9,0x519b70055af55a007110b4ff99b0ea33071c720a,0xae9a111f0089cf0b80ad77c38ea37bc8f77805011f54685506bf9aa591e8c42f,mainnet
1579709306,0x004874c803b4647540b61324c4af64f1aee2caa8edb3fb445acf0af42d26f3d4,Pass,851981327419822454866,0x24597c5c68687e816ffc0c69e064cb70bb62a9cd,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xb967781a8fbde196875d542ad223ff5b187740aac07db9212228c534256db96a,mainnet
1579516817,0x00512b2485e01eb861a87c36b3622a241429180c419594e7ae698480a1cc15d0,Pass,470837089800000000000,0x9a94ac82b17e67f7dff81912de68eb74ca20e6c3,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,0x3cbf60d1efd34bd1a78d0c8f0543fc26183b71e65508907889f3c2a2bfa97420,mainnet
1561548907,0x00623f1e4fa0db5747f4bfec3d6d31086cb468f7e83b22f87ce30d717f3adf79,Pass,92000000000000000000,0x30043aabbcebbd887437ec4f0cfe6d4c0eb5cc64,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0xbeaac61eaa55ac0090467ef77872accebecdd16bbcbe6ff6236f687655e0e765,mainnet
1584643216,0x0089f404ad05937e147de8f8278ad92ac28f102d3648fd64e73d8403552614f7,Pass,75472680297885759885427,0x436ab15705e0ed23284512770748770ee4c16155,0x519b70055af55a007110b4ff99b0ea33071c720a,0xd2993fd880745ccb4c4d8ea5fdc79f58adcb776171111465ff9f1ad89b8d4889,mainnet
1569953858,0x008fbdb313a3e5a17f79eb6cc8873d4386d8635efde2713662d0b15314f3af46,Fail,334988868088734939889,0xcaa9c1251dfdad81f4175edbd09ba9d9131aca77,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,0x55666570f2f14fb653e9ec81638c4be2ed7e4ea98083c747f514d61e7967804f,mainnet
