createdAt,didRagequit,exists,id,loot,memberAddress,molochAddress,shares,network
1580533109,False,True,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5-member-0xced608aa29bb92185d9b6340adcbfa263dae075b,,0xced608aa29bb92185d9b6340adcbfa263dae075b,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5,10,mainnet
1578737424,False,True,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5-member-0xe04243d4de64793420e613fa13f12efff42aca05,,0xe04243d4de64793420e613fa13f12efff42aca05,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5,101,mainnet
1598114587,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x008de861efedc4617caeb1d27a6aa0e6e7e2c987,0,0x008de861efedc4617caeb1d27a6aa0e6e7e2c987,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1598114949,False,False,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x070f40ccce59a4585e00227d9c01c705c6d087be,0,0x070f40ccce59a4585e00227d9c01c705c6d087be,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,0,mainnet
1596247123,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x0aec94fdb92e72fce21f80176f22b0cc5002d92c,0,0x0aec94fdb92e72fce21f80176f22b0cc5002d92c,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1598114489,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x18e33cffcd0664f71eda650d003624528d4de830,0,0x18e33cffcd0664f71eda650d003624528d4de830,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,20,mainnet
1592999138,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x1efed205caede27da1135cd37a4192861a51100e,0,0x1efed205caede27da1135cd37a4192861a51100e,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1596709386,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x34665577f1d363d839b88d24105833efed0c592a,0,0x34665577f1d363d839b88d24105833efed0c592a,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1593415275,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x41262188e5a1ba7f537b449ee584b80dc491cb2d,0,0x41262188e5a1ba7f537b449ee584b80dc491cb2d,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1593804199,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x4329c87d5ed63b9d186a707e20a2325a42af1e26,0,0x4329c87d5ed63b9d186a707e20a2325a42af1e26,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1592302560,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x4744cda32be7b3e75b9334001da9ed21789d4c0d,0,0x4744cda32be7b3e75b9334001da9ed21789d4c0d,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,10,mainnet
1593413756,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x4e8372537cf5d1493fb5a68d7f48fd190ed137f4,0,0x4e8372537cf5d1493fb5a68d7f48fd190ed137f4,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1584889378,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x50ec89ab7a9bf23ff4ba6245d430ab06886bfbeb,0,0x50ec89ab7a9bf23ff4ba6245d430ab06886bfbeb,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,mainnet
1598114167,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x55d6eda1742b1a078123f762b5d75c5ece49f955,0,0x55d6eda1742b1a078123f762b5d75c5ece49f955,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,10,mainnet
1591639109,False,True,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x636a1dda5ae24e1bb6cb472b7f3c98f458fec738,0,0x636a1dda5ae24e1bb6cb472b7f3c98f458fec738,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,30,mainnet
