createdAt,id,memberAddress,molochAddress,uintVote,proposalAddress,network
1578923895,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5-member-0xe04243d4de64793420e613fa13f12efff42aca05-vote-0,0xe04243d4de64793420e613fa13f12efff42aca05,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5,1,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5-proposal-0,mainnet
1579243175,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5-member-0xe04243d4de64793420e613fa13f12efff42aca05-vote-1,0xe04243d4de64793420e613fa13f12efff42aca05,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5,1,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5-proposal-1,mainnet
1602398809,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x1efed205caede27da1135cd37a4192861a51100e-vote-28,0x1efed205caede27da1135cd37a4192861a51100e,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,2,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-28,mainnet
1602399782,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x1efed205caede27da1135cd37a4192861a51100e-vote-37,0x1efed205caede27da1135cd37a4192861a51100e,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,2,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-37,mainnet
1601407564,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x1efed205caede27da1135cd37a4192861a51100e-vote-38,0x1efed205caede27da1135cd37a4192861a51100e,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-38,mainnet
1602399782,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x1efed205caede27da1135cd37a4192861a51100e-vote-41,0x1efed205caede27da1135cd37a4192861a51100e,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-41,mainnet
1603767796,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x1efed205caede27da1135cd37a4192861a51100e-vote-42,0x1efed205caede27da1135cd37a4192861a51100e,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-42,mainnet
1585192987,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x50ec89ab7a9bf23ff4ba6245d430ab06886bfbeb-vote-2,0x50ec89ab7a9bf23ff4ba6245d430ab06886bfbeb,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-2,mainnet
1590537006,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-10,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-10,mainnet
1590578481,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-11,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-11,mainnet
1590652035,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-12,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-12,mainnet
1590663879,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-13,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-13,mainnet
1590652251,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-14,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-14,mainnet
1590857234,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-15,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-15,mainnet
1590857758,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-16,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-16,mainnet
1590858559,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-17,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-17,mainnet
1591013396,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-18,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-18,mainnet
1591140216,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-19,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-19,mainnet
1591177660,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-20,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-20,mainnet
1591353216,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-21,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-21,mainnet
1591353928,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-22,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-22,mainnet
1591612216,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-23,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-23,mainnet
1591612347,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-24,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-24,mainnet
1592469984,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-25,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-25,mainnet
1592502076,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-26,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-26,mainnet
1593911494,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-27,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-27,mainnet
1587072478,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-3,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-3,mainnet
1595528924,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-30,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-30,mainnet
1597377398,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-36,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-36,mainnet
1588400032,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-4,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-4,mainnet
1588400292,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-5,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-5,mainnet
1588400404,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-member-0x717303f9258ff6fae98a9e1dba3d34bf21688415-vote-6,0x717303f9258ff6fae98a9e1dba3d34bf21688415,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-6,mainnet
