date,members
1554681600,134
1554768000,134
1554854400,134
1554940800,134
1555027200,134
1555113600,134
1555200000,134
1555286400,134
1555372800,134
1555459200,134
1555545600,134
1555632000,134
1555718400,134
1555804800,134
1555891200,134
1555977600,151
1556064000,151
1556150400,151
1556236800,152
1556323200,153
1556409600,155
1556496000,155
1556582400,155
1556668800,156
1556755200,157
1556841600,162
1556928000,163
1557014400,165
1557100800,165
1557187200,166
1557273600,166
1557360000,166
1557446400,168
1557532800,168
1557619200,169
1557705600,170
1557792000,170
1557878400,171
1557964800,171
1558051200,171
1558137600,171
1558224000,173
1558310400,175
1558396800,176
1558483200,176
1558569600,193
1558656000,200
1558742400,203
1558828800,204
1558915200,205
1559001600,206
1559088000,207
1559174400,208
1559260800,208
1559347200,212
1559433600,213
1559520000,213
1559606400,214
1559692800,214
1559779200,214
1559865600,215
1559952000,216
1560038400,218
1560124800,239
1560211200,244
1560297600,245
1560384000,246
1560470400,246
1560556800,246
1560643200,247
1560729600,250
1560816000,250
1560902400,252
1560988800,5199
1561075200,5199
1561161600,5199
1561248000,5200
1561334400,5203
1561420800,5204
1561507200,5207
1561593600,5209
1561680000,5611
1561766400,5612
1561852800,5613
1561939200,5613
1562025600,5614
1562112000,5615
1562198400,5615
1562284800,5618
1562371200,5618
1562457600,5658
1562544000,5659
1562630400,5663
1562716800,5663
1562803200,5663
1562889600,5665
1562976000,5665
1563062400,5666
1563148800,5668
1563235200,5668
1563321600,5669
1563408000,5669
1563494400,5669
1563580800,5670
1563667200,5670
1563753600,5671
1563840000,5678
1563926400,5679
1564012800,5684
1564099200,5686
1564185600,5686
1564272000,5688
1564358400,5689
1564444800,5691
1564531200,5692
1564617600,5692
1564704000,5692
1564790400,5693
1564876800,5693
1564963200,5693
1565049600,5697
1565136000,5697
1565222400,5698
1565308800,5699
1565395200,5699
1565481600,5700
1565568000,5700
1565654400,5704
1565740800,5705
1565827200,5706
1565913600,5708
1566000000,5709
1566086400,5710
1566172800,5711
1566259200,5711
1566345600,5712
1566432000,5714
1566518400,5714
1566604800,5714
1566691200,5714
1566777600,5714
1566864000,5714
1566950400,5716
1567036800,5748
1567123200,5749
1567209600,5749
1567296000,5753
1567382400,5755
1567468800,5755
1567555200,5755
1567641600,5758
1567728000,5760
1567814400,5761
1567900800,5762
1567987200,5763
1568073600,5764
1568160000,5766
1568246400,5770
1568332800,5773
1568419200,5773
1568505600,5775
1568592000,5775
1568678400,5776
1568764800,5776
1568851200,5776
1568937600,5777
1569024000,5779
1569110400,5780
1569196800,5780
1569283200,5784
1569369600,5784
1569456000,5785
1569542400,5787
1569628800,5787
1569715200,5787
1569801600,5787
1569888000,5787
1569974400,5788
1570060800,5788
1570147200,5788
1570233600,5789
1570320000,5789
1570406400,5790
1570492800,5791
1570579200,5791
1570665600,5792
1570752000,5792
1570838400,5792
1570924800,5794
1571011200,5794
1571097600,5795
1571184000,5795
1571270400,5821
1571356800,5823
1571443200,5824
1571529600,5824
1571616000,5826
1571702400,5826
1571788800,5827
1571875200,5828
1571961600,5828
1572048000,5828
1572134400,5829
1572220800,5829
1572307200,5829
1572393600,5830
1572480000,5831
1572566400,5832
1572652800,5832
1572739200,5833
1572825600,5834
1572912000,5836
1572998400,5839
1573084800,5844
1573171200,5851
1573257600,5855
1573344000,5869
1573430400,5884
1573516800,5891
1573603200,5897
1573689600,5900
1573776000,5900
1573862400,5901
1573948800,5902
1574035200,5902
1574121600,5905
1574208000,5905
1574294400,5907
1574380800,5907
1574467200,5907
1574553600,5907
1574640000,5910
1574726400,5910
1574812800,5911
1574899200,5911
1574985600,5916
1575072000,5923
1575158400,5923
1575244800,5938
1575331200,5939
1575417600,5940
1575504000,5971
1575590400,5971
1575676800,5975
1575763200,5980
1575849600,5980
1575936000,5981
1576022400,5981
1576108800,5997
1576195200,5999
1576281600,6000
1576368000,6001
1576454400,6006
1576540800,6017
1576627200,6028
1576713600,6037
1576800000,6044
1576886400,6049
1576972800,6053
1577059200,6055
1577145600,6055
1577232000,6055
1577318400,6057
1577404800,6057
1577491200,6063
1577577600,6063
1577664000,6068
1577750400,6070
1577836800,6087
1577923200,6100
1578009600,6104
1578096000,6105
1578182400,6105
1578268800,6107
1578355200,6110
1578441600,6114
1578528000,6134
1578614400,6135
1578700800,6137
1578787200,6140
1578873600,6145
1578960000,6146
1579046400,6146
1579132800,6148
1579219200,6150
1579305600,6154
1579392000,6178
1579478400,6179
1579564800,6180
1579651200,6183
1579737600,6183
1579824000,6187
1579910400,6187
1579996800,6190
1580083200,6192
1580169600,6200
1580256000,6208
1580342400,6212
1580428800,6214
1580515200,6217
1580601600,6219
1580688000,6219
1580774400,6219
1580860800,6219
1580947200,6231
1581033600,6231
1581120000,6236
1581206400,6236
