date,rateActionsMembers
1554681600,0.0
1554768000,0.0
1554854400,0.05223880597014925
1554940800,0.41044776119402987
1555027200,0.13432835820895522
1555113600,0.1417910447761194
1555200000,0.03731343283582089
1555286400,0.13432835820895522
1555372800,0.19402985074626866
1555459200,0.19402985074626866
1555545600,0.208955223880597
1555632000,0.029850746268656716
1555718400,0.31343283582089554
1555804800,0.23880597014925373
1555891200,0.11194029850746269
1555977600,0.1986754966887417
1556064000,0.2119205298013245
1556150400,0.2119205298013245
1556236800,0.20394736842105263
1556323200,0.13725490196078433
1556409600,0.16129032258064516
1556496000,0.18064516129032257
1556582400,0.16129032258064516
1556668800,0.04487179487179487
1556755200,0.07643312101910828
1556841600,0.1419753086419753
1556928000,0.024539877300613498
1557014400,0.048484848484848485
1557100800,0.06666666666666667
1557187200,0.03614457831325301
1557273600,0.0963855421686747
1557360000,0.07228915662650602
1557446400,0.047619047619047616
1557532800,0.005952380952380952
1557619200,0.011834319526627219
1557705600,0.041176470588235294
1557792000,0.08235294117647059
1557878400,0.08771929824561403
1557964800,0.1111111111111111
1558051200,0.04678362573099415
1558137600,0.07017543859649122
1558224000,0.05202312138728324
1558310400,0.06285714285714286
1558396800,0.045454545454545456
1558483200,0.09090909090909091
1558569600,0.09326424870466321
1558656000,0.065
1558742400,0.029556650246305417
1558828800,0.08333333333333333
1558915200,0.07804878048780488
1559001600,0.038834951456310676
1559088000,0.19806763285024154
1559174400,0.15865384615384615
1559260800,0.09134615384615384
1559347200,0.04245283018867924
1559433600,0.07511737089201878
1559520000,0.07981220657276995
1559606400,0.037383177570093455
1559692800,0.0514018691588785
1559779200,0.07009345794392523
1559865600,0.14418604651162792
1559952000,0.009259259259259259
1560038400,0.04128440366972477
1560124800,0.06276150627615062
1560211200,0.13524590163934427
1560297600,0.13877551020408163
1560384000,0.08943089430894309
1560470400,0.036585365853658534
1560556800,0.036585365853658534
1560643200,0.11740890688259109
1560729600,0.168
1560816000,0.14
1560902400,0.1349206349206349
1560988800,0.009232544720138488
1561075200,0.014233506443546836
1561161600,0.0103866128101558
1561248000,0.014807692307692308
1561334400,0.005765904285988853
1561420800,0.0030745580322828594
1561507200,0.007681966583445362
1561593600,0.005183336532923786
1561680000,0.006237747282124399
1561766400,0.007840342124019958
1561852800,0.006235524674861928
1561939200,0.004097630500623553
1562025600,0.005343783398646241
1562112000,0.009617097061442564
1562198400,0.00819234194122885
1562284800,0.002491990032039872
1562371200,0.00266998932004272
1562457600,0.0015906680805938495
1562544000,0.004594451316487012
1562630400,0.008829242450997704
1562716800,0.00900582730001766
1562803200,0.0035316969803990818
1562889600,0.008473080317740512
1562976000,0.001059135039717564
1563062400,0.004941757853865161
1563148800,0.0077628793225123505
1563235200,0.0024700070571630206
1563321600,0.005997530428647028
1563408000,0.010231081319456695
1563494400,0.003351561121890986
1563580800,0.0015873015873015873
1563667200,0.0038800705467372134
1563753600,0.00564274378416505
1563840000,0.007573089115885875
1563926400,0.0035217467864060575
1564012800,0.003342716396903589
1564099200,0.008441786844882167
1564185600,0.002110446711220542
1564272000,0.0014064697609001407
1564358400,0.002109333802074178
1564444800,0.003865752943243718
1564531200,0.007554462403373156
1564617600,0.0028109627547434997
